CODE,SHORT DESCRIPTION (VALID ICD-10 FY2026),LONG DESCRIPTION (VALID ICD-10 FY2026)
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae"
A001,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor"
A009,"Cholera, unspecified","Cholera, unspecified"
A0100,"Typhoid fever, unspecified","Typhoid fever, unspecified"
A0101,Typhoid meningitis,Typhoid meningitis
A0102,Typhoid fever with heart involvement,Typhoid fever with heart involvement
A0103,Typhoid pneumonia,Typhoid pneumonia
A0104,Typhoid arthritis,Typhoid arthritis
A0105,Typhoid osteomyelitis,Typhoid osteomyelitis
A0109,Typhoid fever with other complications,Typhoid fever with other complications
A011,Paratyphoid fever A,Paratyphoid fever A
A012,Paratyphoid fever B,Paratyphoid fever B
A013,Paratyphoid fever C,Paratyphoid fever C
A014,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified"
A020,Salmonella enteritis,Salmonella enteritis
A021,Salmonella sepsis,Salmonella sepsis
A0220,"Localized salmonella infection, unspecified","Localized salmonella infection, unspecified"
A0221,Salmonella meningitis,Salmonella meningitis
A0222,Salmonella pneumonia,Salmonella pneumonia
A0223,Salmonella arthritis,Salmonella arthritis
A0224,Salmonella osteomyelitis,Salmonella osteomyelitis
A0225,Salmonella pyelonephritis,Salmonella pyelonephritis
A0229,Salmonella with other localized infection,Salmonella with other localized infection
A028,Other specified salmonella infections,Other specified salmonella infections
A029,"Salmonella infection, unspecified","Salmonella infection, unspecified"
A030,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae
A031,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri
A032,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii
A033,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei
A038,Other shigellosis,Other shigellosis
A039,"Shigellosis, unspecified","Shigellosis, unspecified"
A040,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection
A041,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection
A042,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection
A043,Enterohemorrhagic Escherichia coli infection,Enterohemorrhagic Escherichia coli infection
A044,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections
A045,Campylobacter enteritis,Campylobacter enteritis
A046,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica
A047,Enterocolitis due to Clostridium difficile,Enterocolitis due to Clostridium difficile
A0471,"Enterocolitis due to Clostridium difficile, recurrent","Enterocolitis due to Clostridium difficile, recurrent"
A0472,"Enterocolitis d/t Clostridium difficile, not spcf as recur","Enterocolitis due to Clostridium difficile, not specified as recurrent"
A048,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections
A049,"Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified"
A050,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication
A051,Botulism food poisoning,Botulism food poisoning
A052,Foodborne Clostridium perfringens intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A053,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication
A054,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication
